"label","region","view","x","y","group","subgroup"
"lh_43","43","lateral",197.005426186458,75.6873025833333,1,1
"lh_43","43","lateral",197.165162290625,75.68975125,1,1
"lh_43","43","lateral",197.323165957292,75.69151675,1,1
"lh_43","43","lateral",197.460360165625,75.6617319375,1,1
"lh_43","43","lateral",197.576744915625,75.6003968125,1,1
"lh_43","43","lateral",197.672320207292,75.507511375,1,1
"lh_43","43","lateral",197.747086040625,75.383075625,1,1
"lh_43","43","lateral",197.865610415625,75.26078278125,1,1
"lh_43","43","lateral",198.027893332292,75.14063284375,1,1
"lh_43","43","lateral",198.233934790625,75.0226258125,1,1
"lh_43","43","lateral",198.483734790625,74.9067616875,1,1
"lh_43","43","lateral",198.732177040625,74.789486,1,1
"lh_43","43","lateral",198.979261540625,74.67079875,1,1
"lh_43","43","lateral",199.224988290625,74.5506999375,1,1
"lh_43","43","lateral",199.469357290625,74.4291895625,1,1
"lh_43","43","lateral",199.716761353125,74.31317525,1,1
"lh_43","43","lateral",199.967200478125,74.202657,1,1
"lh_43","43","lateral",200.220674665625,74.0976348125,1,1
"lh_43","43","lateral",200.477183915625,73.9981086875,1,1
"lh_43","43","lateral",200.711858790625,73.9255180833333,1,1
"lh_43","43","lateral",200.924699290625,73.879863,1,1
"lh_43","43","lateral",201.115705415625,73.8611434375,1,1
"lh_43","43","lateral",201.284877165625,73.8693593958333,1,1
"lh_43","43","lateral",201.435489790625,73.84881753125,1,1
"lh_43","43","lateral",201.567543290625,73.79951784375,1,1
"lh_43","43","lateral",201.681037665625,73.7214603333333,1,1
"lh_43","43","lateral",201.775972915625,73.614645,1,1
"lh_43","43","lateral",201.868615019792,73.5115693125,1,1
"lh_43","43","lateral",201.958963978125,73.4122332708333,1,1
"lh_43","43","lateral",202.047019790625,73.316636875,1,1
"lh_43","43","lateral",202.132782457292,73.224780125,1,1
"lh_43","43","lateral",202.177398759375,73.1289995625,1,1
"lh_43","43","lateral",202.180868696875,73.0292951875,1,1
"lh_43","43","lateral",202.143192269792,72.925667,1,1
"lh_43","43","lateral",202.064369478125,72.818115,1,1
"lh_43","43","lateral",202.004968978125,72.691098875,1,1
"lh_43","43","lateral",201.964990769792,72.544618625,1,1
"lh_43","43","lateral",201.944434853125,72.37867425,1,1
"lh_43","43","lateral",201.943301228125,72.19326575,1,1
"lh_43","43","lateral",202.001671009375,72.03777996875,1,1
"lh_43","43","lateral",202.119544196875,71.91221690625,1,1
