gene,gene_original,PLS1_z,PLS2_z
YIPF1,YIPF1,-10.889415,5.623714
UBE2QL1,UBE2QL1,-0.693273,5.615241
PRDM11,PRDM11,-3.454962,5.606875
FAM131B,FAM131B,13.206277,5.60612
FAM173A,FAM173A,-5.807215,5.603326
DCTN2,DCTN2,-7.94405,5.601496
SPTSSB,SPTSSB,16.590529,5.59994
SNX10,SNX10,-9.314067,5.598669
GPR21,GPR21,4.590211,5.597706
CUL2,CUL2,-14.112438,5.597553
MED31,MED31,-3.84522,5.592871
ZFP1,ZFP1,-0.813739,5.592868
SERPINB2,SERPINB2,-9.07115,5.590977
ADGRF5,GPR116,-8.456569,5.579044
GNA15,GNA15,-5.979612,5.57116
APOL2,APOL2,10.287765,5.570881
TMEM184C,TMEM184C,4.819246,5.570428
FAM217B,C20orf177,10.770328,5.566843
PPEF1,PPEF1,-14.580338,5.564862
RP11-445H22.3,RP11-445H22.3,2.782423,5.545307
C11orf74,C11orf74,-6.908378,5.543988
NRN1,NRN1,5.036405,5.541173
MAP1S,MAP1S,-0.720836,5.535195
STN1,OBFC1,1.196754,5.530994
DYNLT3,DYNLT3,-3.185681,5.530616
DCP2,DCP2,-8.401064,5.530323
FAIM2,FAIM2,-7.721011,5.528658
