method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	BIP_eur	zanc	BIPeur	0p01	baseline_thickness	full	8596	7198	1350	1449	-0.0367130989581996	0.0279305651631814	0.188903183277242	0.0196515627143671	0.0116623333624218	0.0920229829767981	0.0563646616725666	0.0302783450410865	1.8615502794516	0.0626665072167469
CT	BIP_eur	zanc	BIPeur	0p05	baseline_thickness	full	8596	7198	1350	1449	0.0008998341506057	0.0287901616367455	0.975070496281363	0.0166672007166151	0.0117897286348438	0.157491813384856	0.0157673665660093	0.0311339371123761	0.506436642082817	0.612550156954697
CT	BIP_eur	zanc	BIPeur	0p1	baseline_thickness	full	8596	7198	1350	1449	0.0006519257217917	0.029283529959999	0.982241558779859	0.0174798555433189	0.0118070477871667	0.138794428384862	0.0168279298215271	0.0315924597781444	0.532656524363724	0.594271366482265
CT	BIP_eur	zanc	BIPeur	0p5	baseline_thickness	full	8596	7198	1350	1449	0.003905396279272	0.0295366627877247	0.894826820286162	0.0095663202003051	0.0118736536072153	0.420456218440174	0.005660923921033	0.0318561558325115	0.177702669173149	0.858956488917495
CT	BIP_eur	zanc	BIPeur	1	baseline_thickness	full	8596	7198	1350	1449	0.0024705922011911	0.0296295916670164	0.933558689230395	0.008225728641937	0.0118700202910288	0.488342255230458	0.0057551364407459	0.0319406891666147	0.180181974494193	0.857009709102512
CT	BIP_eur	zanc	BIPeur	1e-5	baseline_thickness	full	8596	7198	1350	1449	-0.0903161552750606	0.0274887507668154	0.0010418276038158	-0.0097144604375799	0.0115838077813251	0.40170820494597	0.0806016948374806	0.0298292571218118	2.70210198357716	0.0068902624522685
CT	BIP_eur	zanc	BIPeur	5e-8	baseline_thickness	full	8596	7198	1350	1449	-0.0627705499649633	0.0271923481309211	0.0211158799010243	-0.015269461233782	0.0115613862890492	0.186633617739069	0.0475010887311814	0.029544092708736	1.60780326542692	0.107878273060775
CT	BIP_eur	zanc	BIPeur	0p001	global_slope	EUR	4308	3601	691	726	-0.0251421148087685	0.0456909843273971	0.582300730756048	-0.0336675918167845	0.0153968366445979	0.0288337915803854	-0.008525477008016	0.0482233986751655	-0.17679129307007	0.859672328450656
CT	BIP_eur	zanc	BIPeur	0p01	global_slope	EUR	4308	3601	691	726	-0.030182270628594	0.0464129563456984	0.515697721932838	-0.0445635074665311	0.0155359562369642	0.0041500256493295	-0.0143812368379371	0.0489572064174155	-0.293751173531446	0.768948047614091
CT	BIP_eur	zanc	BIPeur	0p05	global_slope	EUR	4308	3601	691	726	-0.0371865438188516	0.0489116525193739	0.447325994483583	-0.0514545390362911	0.0157505531786379	0.0010981478907287	-0.0142679952174396	0.0514051069397031	-0.277559878129921	0.781350234919937
