readout	phenotype	arm	method	comparable	value_dk	value_hcp	se_dk	se_hcp	p_dk	p_hcp	n_dk	n_hcp
PRS beta ALZ_noAPOE	global_slope	EUR	SBayesRC	yes	-0.016827	-0.0085254	0.014439	0.014551	0.24392	0.55798	4308	4308
PRS beta ASD	baseline_thickness	EUR	CT	yes	-0.042453	-0.039919	0.015256	0.015256	0.04331	0.071294	4308	4308
PRS beta ASD	baseline_thickness	EUR	PRSCS	yes	-0.040256	-0.039522	0.015373	0.015371	0.0088593	0.010169	4308	4308
PRS beta ASD	baseline_thickness	EUR	SBayesR	yes	-0.011571	-0.011159	0.01534	0.015339	0.45072	0.46695	4308	4308
PRS beta ASD	baseline_thickness	EUR	SBayesRC	yes	-0.012785	-0.014945	0.015276	0.015274	0.40269	0.32791	4308	4308
PRS beta ASD	global_slope	EUR	CT	yes	0.03375	0.029753	0.014407	0.014511	0.15356	0.32314	4308	4308
PRS beta ASD	global_slope	EUR	PRSCS	yes	0.023035	0.026902	0.014482	0.01459	0.11178	0.065275	4308	4308
PRS beta ASD	global_slope	EUR	SBayesR	yes	0.0047011	0.00611	0.014472	0.014577	0.74531	0.67513	4308	4308
PRS beta ASD	global_slope	EUR	SBayesRC	yes	0.011838	0.011118	0.014429	0.014529	0.41203	0.44419	4308	4308
PRS beta EA	baseline_thickness	EUR	CT	yes	0.023765	0.027646	0.015254	0.015697	0.95458	0.62623	4308	4308
PRS beta EA	baseline_thickness	EUR	PRSCS	yes	0.024841	0.027573	0.015814	0.015809	0.11629	0.081215	4308	4308
PRS beta EA	baseline_thickness	EUR	SBayesR	yes	0.021107	0.025722	0.015882	0.015877	0.18392	0.10528	4308	4308
PRS beta EA	baseline_thickness	EUR	SBayesRC	yes	0.010986	0.016384	0.015857	0.015853	0.48847	0.30143	4308	4308
PRS beta EA	global_slope	EUR	CT	yes	0.032161	0.021144	0.014914	0.015037	0.24885	1	4308	4308
PRS beta EA	global_slope	EUR	PRSCS	yes	0.033472	0.022152	0.014832	0.014957	0.024079	0.13868	4308	4308
PRS beta EA	global_slope	EUR	SBayesR	yes	0.031792	0.020431	0.014864	0.014996	0.032507	0.17315	4308	4308
PRS beta EA	global_slope	EUR	SBayesRC	yes	0.029617	0.020811	0.014855	0.014983	0.04625	0.16493	4308	4308
PRS beta MDD_eur	baseline_thickness	EUR	CT	yes	-0.022168	-0.024227	0.015372	0.015369	1	0.92017	4308	4308
PRS beta MDD_eur	baseline_thickness	EUR	PRSCS	yes	-0.026129	-0.027098	0.015492	0.015489	0.091755	0.080278	4308	4308
PRS beta MDD_eur	baseline_thickness	EUR	SBayesR	yes	-0.018791	-0.020702	0.015705	0.015702	0.23159	0.18743	4308	4308
PRS beta MDD_eur	baseline_thickness	EUR	SBayesRC	yes	-0.019794	-0.020722	0.015613	0.015609	0.20493	0.18439	4308	4308
PRS beta MDD_eur	global_slope	EUR	CT	yes	-0.023521	-0.021187	0.014439	0.014786	0.82723	1	4308	4308
PRS beta MDD_eur	global_slope	EUR	PRSCS	yes	-0.015783	-0.0097539	0.014557	0.014672	0.27833	0.50623	4308	4308
PRS beta MDD_eur	global_slope	EUR	SBayesR	yes	-0.028192	-0.023985	0.014724	0.014847	0.055595	0.10629	4308	4308
PRS beta MDD_eur	global_slope	EUR	SBayesRC	yes	-0.020666	-0.016726	0.014635	0.014757	0.158	0.25711	4308	4308
PRS beta MDD_pooled	baseline_thickness	full	CT	yes	-0.014114	-0.014821	0.010928	0.010774	1	1	8596	8596
PRS beta MDD_pooled	baseline_thickness	full	PRSCS	yes	-0.0083746	-0.0091845	0.010856	0.010868	0.44048	0.39809	8596	8596
PRS beta MDD_pooled	baseline_thickness	full	SBayesR	yes	-0.00094635	-0.0026109	0.010992	0.011004	0.93139	0.81246	8596	8596
PRS beta MDD_pooled	baseline_thickness	full	SBayesRC	yes	-0.0015835	-0.0027387	0.01088	0.010892	0.88429	0.80148	8596	8596
PRS beta MDD_pooled	global_slope	full	CT	yes	-0.021584	-0.015769	0.010456	0.010499	0.31227	1	8596	8596
PRS beta MDD_pooled	global_slope	full	PRSCS	yes	-0.02064	-0.015127	0.010438	0.010492	0.048031	0.14943	8596	8596
PRS beta MDD_pooled	global_slope	full	SBayesR	yes	-0.028962	-0.023158	0.010532	0.010593	0.0059771	0.02884	8596	8596
PRS beta MDD_pooled	global_slope	full	SBayesRC	yes	-0.022346	-0.018172	0.010447	0.010504	0.032463	0.083658	8596	8596
PRS beta SCZ_eur	baseline_thickness	EUR	CT	yes	-0.017485	-0.022085	0.015353	0.015332	1	1	4308	4308
PRS beta SCZ_eur	baseline_thickness	EUR	PRSCS	yes	0.010003	0.0098086	0.015592	0.015589	0.52118	0.52927	4308	4308
PRS beta SCZ_eur	baseline_thickness	EUR	SBayesR	yes	0.015287	0.018656	0.015629	0.015626	0.32808	0.2326	4308	4308
PRS beta SCZ_eur	baseline_thickness	EUR	SBayesRC	yes	0.01694	0.019863	0.015524	0.015521	0.27521	0.20068	4308	4308
PRS beta SCZ_eur	global_slope	EUR	CT	yes	-0.038245	-0.039602	0.014653	0.014776	0.072706	0.05911	4308	4308
PRS beta SCZ_eur	global_slope	EUR	PRSCS	yes	-0.026123	-0.029371	0.014628	0.014748	0.074211	0.046497	4308	4308
PRS beta SCZ_eur	global_slope	EUR	SBayesR	yes	-0.02657	-0.033801	0.014695	0.014807	0.070663	0.022498	4308	4308
PRS beta SCZ_eur	global_slope	EUR	SBayesRC	yes	-0.026976	-0.033232	0.014594	0.014706	0.064623	0.023888	4308	4308
PRS beta SCZ_pooled	baseline_thickness	full	CT	yes	0.014969	0.014316	0.01094	0.010952	1	1	8596	8596
PRS beta SCZ_pooled	baseline_thickness	full	PRSCS	yes	0.0025872	0.0041129	0.010815	0.010827	0.81094	0.70405	8596	8596
PRS beta SCZ_pooled	baseline_thickness	full	SBayesR	yes	0.012858	0.01662	0.010876	0.010887	0.23713	0.12691	8596	8596
PRS beta SCZ_pooled	baseline_thickness	full	SBayesRC	yes	0.0059099	0.0096502	0.010779	0.010791	0.58352	0.37118	8596	8596
PRS beta SCZ_pooled	global_slope	full	CT	yes	-0.033694	-0.035261	0.010367	0.010419	0.0092673	0.0057324	8596	8596
PRS beta SCZ_pooled	global_slope	full	PRSCS	yes	-0.024173	-0.02185	0.01041	0.010463	0.020249	0.036803	8596	8596
PRS beta SCZ_pooled	global_slope	full	SBayesR	yes	-0.030262	-0.030171	0.010472	0.010523	0.0038652	0.0041537	8596	8596
PRS beta SCZ_pooled	global_slope	full	SBayesRC	yes	-0.028928	-0.028673	0.010388	0.010438	0.0053698	0.0060279	8596	8596
PRS min-p perm ALZ	baseline_thickness	EUR	CT	yes	0.14393	0.17741					4308	4308
PRS min-p perm ALZ	global_slope	EUR	CT	yes	0.025987	0.052974					4308	4308
PRS min-p perm ALZ	slope_PC1	EUR	CT	no (atlas-specific PC)	0.003998	0.015992					4308	4308
PRS min-p perm ALZ	slope_PC2	EUR	CT	no (atlas-specific PC)	0.078961	0.1909					4308	4308
PRS min-p perm ALZ	slope_PC3	EUR	CT	no (atlas-specific PC)	0.034483	0.75662					4308	4308
PRS min-p perm ALZ_IGAP	baseline_thickness	EUR	CT	yes	0.38181	0.36182					4308	4308
PRS min-p perm ALZ_IGAP	global_slope	EUR	CT	yes	0.069465	0.22389					4308	4308
PRS min-p perm ALZ_IGAP	slope_PC1	EUR	CT	no (atlas-specific PC)	0.14543	0.24438					4308	4308
PRS min-p perm ALZ_IGAP	slope_PC2	EUR	CT	no (atlas-specific PC)	0.29985	0.27986					4308	4308
PRS min-p perm ALZ_IGAP	slope_PC3	EUR	CT	no (atlas-specific PC)	0.35982	0.42779					4308	4308
PRS min-p perm ALZ_IGAP_noAPOE	baseline_thickness	EUR	CT	yes	0.04098	0.047476					4308	4308
PRS min-p perm ALZ_IGAP_noAPOE	global_slope	EUR	CT	yes	0.10395	0.27536					4308	4308
PRS min-p perm ALZ_IGAP_noAPOE	slope_PC1	EUR	CT	no (atlas-specific PC)	0.85257	0.35532					4308	4308
PRS min-p perm ALZ_IGAP_noAPOE	slope_PC2	EUR	CT	no (atlas-specific PC)	0.51124	0.32834					4308	4308
PRS min-p perm ALZ_IGAP_noAPOE	slope_PC3	EUR	CT	no (atlas-specific PC)	0.90405	0.3978					4308	4308
PRS min-p perm ALZ_noAPOE	baseline_thickness	EUR	CT	yes	0.043478	0.04048					4308	4308
PRS min-p perm ALZ_noAPOE	global_slope	EUR	CT	yes	0.09995	0.15492					4308	4308
PRS min-p perm ALZ_noAPOE	slope_PC1	EUR	CT	no (atlas-specific PC)	0.5967	0.5917					4308	4308
PRS min-p perm ALZ_noAPOE	slope_PC2	EUR	CT	no (atlas-specific PC)	0.73313	0.46127					4308	4308
PRS min-p perm ALZ_noAPOE	slope_PC3	EUR	CT	no (atlas-specific PC)	0.45527	0.84908					4308	4308
PRS min-p perm ASD	baseline_thickness	EUR	CT	yes	0.026487	0.046477					4308	4308
PRS min-p perm ASD	global_slope	EUR	CT	yes	0.076462	0.14093					4308	4308
PRS min-p perm ASD	slope_PC1	EUR	CT	no (atlas-specific PC)	0.31284	0.57021					4308	4308
PRS min-p perm ASD	slope_PC2	EUR	CT	no (atlas-specific PC)	0.73413	0.94603					4308	4308
PRS min-p perm ASD	slope_PC3	EUR	CT	no (atlas-specific PC)	0.17341	0.98251					4308	4308
